GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AD38E001,AD38E002,AD38E003,AD38E004,AD38E005,AD39E001,AD39E002,AD39E003,AD39E004,AD39E005,AD39E006,AD4AE001,AD4AE002,AD4AE003,AD4AE004,AD4AE005,AD4AE006,AD4BE001,NAME_M,AD38M001,AD38M002,AD38M003,AD38M004,AD38M005,AD39M001,AD39M002,AD39M003,AD39M004,AD39M005,AD39M006,AD4AM001,AD4AM002,AD4AM003,AD4AM004,AD4AM005,AD4AM006,AD4BM001
"G4200490","2011-2015",,,"Pennsylvania","42","Erie County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,"Erie County, Pennsylvania",19411,36541,57081,89499,152290,10903,27673,46317,71781,150084,260398,3.56,9.02,15.10,23.40,48.92,21.22,0.4543,"Erie County, Pennsylvania",554,665,992,1626,3869,375,566,746,1073,3668,12063,0.11,0.17,0.22,0.31,0.61,0.75,0.0061
"G4200510","2011-2015",,,"Pennsylvania","42","Fayette County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Pennsylvania",15949,30078,50750,79505,135131,9128,22738,39601,64039,126891,202945,3.48,8.67,15.09,24.41,48.36,19.34,0.4526,"Fayette County, Pennsylvania",619,1050,1301,1615,3080,496,760,1246,1437,3676,11552,0.18,0.24,0.31,0.36,0.83,0.88,0.0089
"G4200530","2011-2015",,,"Pennsylvania","42","Forest County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,"Forest County, Pennsylvania",17856,30752,42808,62650,100821,11618,24073,36161,52200,100216,159871,5.18,10.73,16.12,23.28,44.69,17.82,0.3941,"Forest County, Pennsylvania",1362,1553,2530,3312,9048,892,1876,1932,2784,10423,33135,0.42,0.77,0.91,1.14,2.59,2.96,0.0269
"G4200550","2011-2015",,,"Pennsylvania","42","Franklin County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Pennsylvania",25668,43974,66137,97900,151489,15047,34707,54364,80098,144343,224053,4.58,10.56,16.55,24.38,43.93,17.05,0.3965,"Franklin County, Pennsylvania",717,1263,1434,1745,3911,640,922,1265,1749,5255,17393,0.19,0.25,0.31,0.35,0.84,1.04,0.0092
"G4200570","2011-2015",,,"Pennsylvania","42","Fulton County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Pennsylvania",21472,38626,59114,83704,135700,12449,30256,48417,70266,123606,185162,4.37,10.62,16.99,24.66,43.37,16.24,0.3927,"Fulton County, Pennsylvania",1578,1789,2331,3337,6311,1114,1535,1913,1654,5424,14307,0.36,0.44,0.48,0.45,1.19,0.98,0.0139
"G4200590","2011-2015",,,"Pennsylvania","42","Greene County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Pennsylvania",21536,36726,58966,92963,151021,12578,28993,47184,74773,144218,230379,4.09,9.42,15.33,24.30,46.86,18.71,0.4311,"Greene County, Pennsylvania",1129,1560,2424,3387,8186,873,1334,1846,2726,7598,25709,0.28,0.39,0.49,0.66,1.35,1.68,0.0145
"G4200610","2011-2015",,,"Pennsylvania","42","Huntingdon County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,"Huntingdon County, Pennsylvania",19357,35636,54499,81250,126758,11537,27476,44555,66634,118479,174400,4.30,10.23,16.58,24.80,44.10,16.23,0.4013,"Huntingdon County, Pennsylvania",1080,1154,1714,2007,3687,726,1159,1243,1516,3295,8706,0.23,0.33,0.34,0.37,0.84,0.72,0.0094
"G4200630","2011-2015",,,"Pennsylvania","42","Indiana County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana County, Pennsylvania",18218,34703,54946,86126,150181,9714,26240,44818,69384,142270,239699,3.32,8.97,15.33,23.73,48.65,20.49,0.4541,"Indiana County, Pennsylvania",968,1282,1386,1993,8821,717,1023,1199,1562,7635,23172,0.23,0.34,0.45,0.57,1.24,1.43,0.0128
"G4200650","2011-2015",,,"Pennsylvania","42","Jefferson County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Pennsylvania",19016,34661,52749,79335,124713,11454,26663,43437,64900,120025,190698,4.30,10.01,16.30,24.35,45.04,17.89,0.4112,"Jefferson County, Pennsylvania",734,1411,1656,1635,4221,528,820,1271,1558,4270,13677,0.19,0.26,0.39,0.39,0.97,1.06,0.0105
"G4200670","2011-2015",,,"Pennsylvania","42","Juniata County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,"Juniata County, Pennsylvania",22315,37493,56564,82331,133018,13298,29245,47407,69207,123275,189435,4.71,10.35,16.79,24.50,43.65,16.77,0.3940,"Juniata County, Pennsylvania",1231,2598,1885,2396,8111,923,1323,1860,2193,7184,21250,0.32,0.43,0.53,0.65,1.51,1.52,0.0158
"G4200690","2011-2015",,,"Pennsylvania","42","Lackawanna County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lackawanna County, Pennsylvania",19187,36148,57342,90847,159487,11304,27225,46311,72708,151237,255624,3.66,8.82,15.00,23.55,48.98,20.70,0.4539,"Lackawanna County, Pennsylvania",605,831,1197,1715,4326,409,675,867,1242,3385,10756,0.12,0.19,0.21,0.30,0.56,0.67,0.0060
"G4200710","2011-2015",,,"Pennsylvania","42","Lancaster County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lancaster County, Pennsylvania",26736,46887,69962,103362,173776,15500,36510,57842,84808,166461,276161,4.29,10.11,16.02,23.48,46.10,19.12,0.4180,"Lancaster County, Pennsylvania",497,761,787,1251,3588,343,529,625,810,3356,10530,0.09,0.13,0.16,0.20,0.45,0.55,0.0048
"G4200730","2011-2015",,,"Pennsylvania","42","Lawrence County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Pennsylvania",18464,35023,54974,86013,147188,10743,26155,44626,69137,141028,239283,3.69,8.97,15.30,23.70,48.35,20.51,0.4487,"Lawrence County, Pennsylvania",663,1155,1359,1585,7393,542,913,1148,1317,5770,19200,0.18,0.26,0.37,0.48,0.98,1.24,0.0101
"G4200750","2011-2015",,,"Pennsylvania","42","Lebanon County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lebanon County, Pennsylvania",25745,45312,66386,96023,156673,14744,35557,55687,79803,150472,245132,4.39,10.57,16.56,23.73,44.75,18.22,0.4042,"Lebanon County, Pennsylvania",769,1012,1137,1843,5830,727,887,1064,1549,5276,17272,0.20,0.24,0.30,0.41,0.78,0.99,0.0083
"G4200770","2011-2015",,,"Pennsylvania","42","Lehigh County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lehigh County, Pennsylvania",24010,45100,69576,106717,190268,13472,34212,56402,86455,180723,309668,3.63,9.21,15.19,23.29,48.68,20.85,0.4498,"Lehigh County, Pennsylvania",692,946,1252,1618,4697,439,741,950,1358,4744,15876,0.12,0.19,0.24,0.33,0.70,0.85,0.0073
"G4200790","2011-2015",,,"Pennsylvania","42","Luzerne County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,"Luzerne County, Pennsylvania",18750,35473,57685,90719,157513,10718,26696,46103,72660,145526,237662,3.55,8.85,15.28,24.08,48.23,19.69,0.4492,"Luzerne County, Pennsylvania",463,810,1082,1522,4028,331,610,867,1102,3792,11600,0.11,0.18,0.23,0.26,0.64,0.72,0.0069
"G4200810","2011-2015",,,"Pennsylvania","42","Lycoming County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lycoming County, Pennsylvania",20937,37190,59372,88716,146846,11800,28761,47618,72634,137144,218944,3.96,9.65,15.98,24.38,46.03,18.37,0.4240,"Lycoming County, Pennsylvania",959,1048,1245,1580,4549,663,791,1099,1170,3614,11577,0.20,0.23,0.30,0.39,0.73,0.80,0.0076
"G4200830","2011-2015",,,"Pennsylvania","42","McKean County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,"McKean County, Pennsylvania",18370,35395,53315,79721,132846,10716,26193,43974,65169,137757,250268,3.78,9.23,15.49,22.96,48.54,22.05,0.4491,"McKean County, Pennsylvania",930,1040,1522,2439,4576,730,1029,1101,1577,9526,35275,0.28,0.40,0.52,0.79,1.68,2.39,0.0180
"G4200850","2011-2015",,,"Pennsylvania","42","Mercer County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mercer County, Pennsylvania",20365,35762,55020,85090,137053,12155,27933,44653,68306,139692,242157,4.15,9.54,15.25,23.33,47.72,20.68,0.4367,"Mercer County, Pennsylvania",707,964,1325,1558,6666,522,789,1079,1422,8148,29774,0.18,0.34,0.48,0.69,1.51,2.00,0.0156
"G4200870","2011-2015",,,"Pennsylvania","42","Mifflin County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mifflin County, Pennsylvania",19032,32956,50140,75701,121993,11717,25841,41305,61386,112369,172891,4.64,10.23,16.35,24.30,44.48,17.11,0.4012,"Mifflin County, Pennsylvania",1145,1624,1514,2589,7388,809,1257,1580,2099,5141,13709,0.26,0.38,0.44,0.49,1.03,1.01,0.0115
"G4200890","2011-2015",,,"Pennsylvania","42","Monroe County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Pennsylvania",25563,46323,70303,105154,173246,14629,35587,57629,86067,154746,226121,4.20,10.21,16.53,24.68,44.38,16.21,0.4038,"Monroe County, Pennsylvania",1267,1711,2139,3905,4371,945,1526,2002,2578,4996,10514,0.25,0.35,0.39,0.31,0.88,0.64,0.0103
"G4200910","2011-2015",,,"Pennsylvania","42","Montgomery County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Pennsylvania",34215,63961,99085,153102,250001,18982,48786,80729,122849,274728,495798,3.48,8.93,14.78,22.50,50.31,22.70,0.4653,"Montgomery County, Pennsylvania",556,804,1257,1414,,390,590,856,1207,4277,12712,0.07,0.11,0.14,0.17,0.38,0.43,0.0040
"G4200930","2011-2015",,,"Pennsylvania","42","Montour County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,"Montour County, Pennsylvania",23398,41689,63565,102617,196250,13235,32243,52937,80874,184017,334487,3.64,8.87,14.57,22.26,50.65,23.02,0.4662,"Montour County, Pennsylvania",1796,2314,3395,4845,23494,1288,2443,3083,3966,14733,45969,0.35,0.65,0.84,0.93,2.15,2.36,0.0224
"G4200950","2011-2015",,,"Pennsylvania","42","Northampton County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,"Northampton County, Pennsylvania",26566,48946,74879,113246,192876,15287,37404,61221,92730,183332,303443,3.92,9.59,15.70,23.78,47.01,19.45,0.4320,"Northampton County, Pennsylvania",681,1119,1289,1485,8408,526,715,937,1143,6003,20843,0.13,0.18,0.27,0.36,0.76,1.03,0.0079
"G4200970","2011-2015",,,"Pennsylvania","42","Northumberland County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,"Northumberland County, Pennsylvania",19167,33672,52807,82200,131524,11251,26634,42750,66182,129509,213260,4.08,9.64,15.47,23.95,46.87,19.29,0.4298,"Northumberland County, Pennsylvania",821,936,1660,2155,3864,566,757,1170,1642,5193,17880,0.19,0.29,0.38,0.50,1.07,1.31,0.0113
"G4200990","2011-2015",,,"Pennsylvania","42","Perry County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Pennsylvania",28453,46753,67274,96974,154375,16644,37765,56979,81103,144055,223428,4.95,11.22,16.93,24.10,42.80,16.60,0.3800,"Perry County, Pennsylvania",1340,1260,1616,2249,6255,873,1207,1457,1950,6711,20930,0.23,0.34,0.43,0.47,1.11,1.27,0.0120
"G4201010","2011-2015",,,"Pennsylvania","42","Philadelphia County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia County, Pennsylvania",13546,29089,49491,83758,159071,6917,20897,38433,64434,151406,269623,2.46,7.41,13.62,22.84,53.67,23.89,0.5102,"Philadelphia County, Pennsylvania",252,419,581,895,2727,152,301,393,624,2296,7676,0.06,0.12,0.15,0.20,0.43,0.53,0.0044
"G4201030","2011-2015",,,"Pennsylvania","42","Pike County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Pennsylvania",27777,49009,74158,108647,179527,15877,38409,60446,89946,165191,247810,4.29,10.38,16.34,24.32,44.66,16.75,0.4041,"Pike County, Pennsylvania",1964,2250,3687,5119,9510,1175,1886,2439,2973,8574,20817,0.32,0.42,0.46,0.52,1.18,1.09,0.0130
"G4201050","2011-2015",,,"Pennsylvania","42","Potter County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,"Potter County, Pennsylvania",18463,32258,51198,77758,133567,11518,25046,40942,63417,130855,230038,4.25,9.21,15.06,23.33,48.14,21.16,0.4412,"Potter County, Pennsylvania",986,1099,1904,3592,8635,650,1052,1553,1869,8529,29106,0.24,0.38,0.46,0.69,1.48,2.00,0.0158
"G4201070","2011-2015",,,"Pennsylvania","42","Schuylkill County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,"Schuylkill County, Pennsylvania",20102,35805,56949,86814,136289,11819,27735,45782,70798,131363,205605,4.11,9.65,15.92,24.63,45.69,17.88,0.4201,"Schuylkill County, Pennsylvania",672,804,1058,1596,4732,546,697,963,1173,3615,10679,0.17,0.20,0.25,0.34,0.63,0.70,0.0066
"G4201090","2011-2015",,,"Pennsylvania","42","Snyder County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,"Snyder County, Pennsylvania",23185,40448,59753,87440,145949,14228,32034,49819,72368,149616,272514,4.48,10.07,15.66,22.75,47.04,21.42,0.4260,"Snyder County, Pennsylvania",1072,1464,1882,2877,12397,887,1142,1471,2025,19005,70217,0.37,0.65,0.94,1.27,3.01,4.18,0.0322
"G4201110","2011-2015",,,"Pennsylvania","42","Somerset County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerset County, Pennsylvania",20536,35405,54578,83267,135263,12106,27603,44619,67857,133208,221917,4.24,9.67,15.63,23.78,46.68,19.44,0.4265,"Somerset County, Pennsylvania",643,905,1457,2622,6390,549,688,1181,1677,5543,18012,0.19,0.24,0.36,0.49,1.02,1.24,0.0104
"G4201130","2011-2015",,,"Pennsylvania","42","Sullivan County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sullivan County, Pennsylvania",20586,35022,55396,84304,134859,12712,28149,44575,68102,129417,196842,4.53,9.94,15.75,24.06,45.72,17.39,0.4122,"Sullivan County, Pennsylvania",1689,1609,2271,5638,7549,948,1502,2041,2660,8828,25279,0.33,0.52,0.67,0.77,1.82,1.75,0.0186
"G4201150","2011-2015",,,"Pennsylvania","42","Susquehanna County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,"Susquehanna County, Pennsylvania",21690,39749,60724,91613,150791,13046,30514,50064,74734,144444,234503,4.17,9.75,16.00,23.89,46.18,18.74,0.4218,"Susquehanna County, Pennsylvania",767,1374,1615,2200,8407,631,1057,1494,1802,6737,20480,0.19,0.30,0.35,0.46,1.03,1.22,0.0113
"G4201170","2011-2015",,,"Pennsylvania","42","Tioga County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,"Tioga County, Pennsylvania",20423,37186,56684,85996,135232,12239,28744,46729,69425,138179,239934,4.15,9.73,15.82,23.51,46.79,20.31,0.4285,"Tioga County, Pennsylvania",739,1328,1474,2357,6020,519,981,1405,1826,7335,25835,0.18,0.33,0.48,0.60,1.38,1.73,0.0144
"G4201190","2011-2015",,,"Pennsylvania","42","Union County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,"Union County, Pennsylvania",23292,41394,60708,94061,173870,13151,31491,50405,74635,167226,304873,3.90,9.35,14.96,22.15,49.64,22.62,0.4533,"Union County, Pennsylvania",2093,2558,2799,4873,14134,1238,1999,2034,2759,12881,42109,0.38,0.60,0.65,0.80,1.98,2.36,0.0215
"G4201210","2011-2015",,,"Pennsylvania","42","Venango County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,"Venango County, Pennsylvania",20302,35329,53776,80497,130778,12249,27419,43983,65568,128327,213476,4.41,9.88,15.85,23.62,46.24,19.23,0.4200,"Venango County, Pennsylvania",1018,1318,1785,2037,3218,627,1028,1282,1498,6637,23505,0.21,0.31,0.42,0.57,1.24,1.66,0.0134
"G4201230","2011-2015",,,"Pennsylvania","42","Warren County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,"Warren County, Pennsylvania",20730,34727,53548,82701,136323,12945,27713,43891,67476,135573,231544,4.50,9.64,15.26,23.46,47.14,20.13,0.4288,"Warren County, Pennsylvania",969,1184,1618,1804,3365,645,968,1212,1684,9189,34620,0.25,0.36,0.48,0.71,1.55,2.32,0.0172
"G4201250","2011-2015",,,"Pennsylvania","42","Washington County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Pennsylvania",23648,44320,70249,107392,192037,13489,33930,56809,87252,179352,302925,3.64,9.15,15.32,23.53,48.36,20.42,0.4475,"Washington County, Pennsylvania",653,1161,1148,1714,5139,419,804,1080,1248,5142,16137,0.12,0.20,0.25,0.30,0.69,0.81,0.0074
"G4201270","2011-2015",,,"Pennsylvania","42","Wayne County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County, Pennsylvania",21866,40834,60613,90986,150548,13878,31045,50032,74465,142282,232828,4.45,9.96,16.05,23.89,45.65,18.67,0.4142,"Wayne County, Pennsylvania",965,1297,2605,2918,11825,717,1420,1543,2526,7343,23365,0.24,0.43,0.41,0.59,1.30,1.50,0.0141
"G4201290","2011-2015",,,"Pennsylvania","42","Westmoreland County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,"Westmoreland County, Pennsylvania",22572,41605,65094,102060,173615,13085,31744,52559,81691,166247,280778,3.79,9.19,15.22,23.66,48.14,20.33,0.4448,"Westmoreland County, Pennsylvania",505,589,843,1371,4116,363,574,649,1029,4005,12448,0.11,0.17,0.21,0.25,0.59,0.68,0.0063
"G4201310","2011-2015",,,"Pennsylvania","42","Wyoming County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming County, Pennsylvania",22771,41157,63928,96084,156030,13461,31730,51609,78577,147918,244700,4.17,9.81,15.96,24.30,45.75,18.92,0.4202,"Wyoming County, Pennsylvania",1394,1498,3205,2547,4337,799,1534,2041,2568,7141,19613,0.24,0.39,0.48,0.46,1.12,1.11,0.0122
"G4201330","2011-2015",,,"Pennsylvania","42","York County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,"York County, Pennsylvania",26170,47085,70662,105394,172598,15292,36527,58367,86415,165458,269193,4.23,10.09,16.12,23.87,45.70,18.59,0.4160,"York County, Pennsylvania",529,736,724,1384,3606,339,596,659,957,3748,11981,0.09,0.16,0.20,0.26,0.53,0.64,0.0056
"G4400010","2011-2015",,,"Rhode Island","44","Bristol County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol County, Rhode Island",29066,55443,91094,141746,250001,15442,41529,72076,115232,249535,448764,3.13,8.41,14.60,23.34,50.53,22.72,0.4755,"Bristol County, Rhode Island",2421,3044,4502,4829,,1600,2615,3448,4100,15139,46860,0.29,0.44,0.59,0.74,1.54,1.78,0.0157
"G4400030","2011-2015",,,"Rhode Island","44","Kent County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Kent County, Rhode Island",26783,50893,79392,117951,197912,14790,39067,64495,97481,194621,336697,3.60,9.52,15.71,23.75,47.42,20.51,0.4401,"Kent County, Rhode Island",1363,1045,1857,2750,10208,731,1231,1509,1624,7570,26333,0.17,0.28,0.34,0.44,0.98,1.24,0.0105
"G4400050","2011-2015",,,"Rhode Island","44","Newport County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Newport County, Rhode Island",27710,53972,86603,134413,243186,13762,40792,69497,108603,231646,406231,2.96,8.79,14.97,23.39,49.89,21.87,0.4687,"Newport County, Rhode Island",2104,2505,4738,4679,16522,1184,1864,2909,3458,11869,39082,0.25,0.39,0.56,0.65,1.51,1.72,0.0156
"G4400070","2011-2015",,,"Rhode Island","44","Providence County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Providence County, Rhode Island",18144,37352,63614,102273,183356,9672,27411,49756,81362,174020,296353,2.83,8.01,14.54,23.77,50.85,21.65,0.4817,"Providence County, Rhode Island",458,718,1119,1472,4190,308,500,816,1043,4123,12756,0.08,0.14,0.21,0.27,0.55,0.69,0.0055
"G4400090","2011-2015",,,"Rhode Island","44","Washington County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Rhode Island",31242,57771,90318,136316,226743,17127,43899,73240,110812,216825,358618,3.71,9.50,15.86,23.99,46.94,19.41,0.4343,"Washington County, Rhode Island",1502,2027,2827,2096,12381,973,1394,1935,2610,8092,25043,0.22,0.27,0.35,0.39,0.95,1.09,0.0105
"G4500010","2011-2015",,,"South Carolina","45","Abbeville County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Abbeville County, South Carolina",15660,28018,42675,72258,112457,8744,21328,34990,55327,104594,152270,3.89,9.48,15.55,24.59,46.49,16.92,0.4267,"Abbeville County, South Carolina",1210,1763,3505,3643,6868,1250,1455,1942,3448,5577,14214,0.52,0.56,0.63,0.92,1.54,1.30,0.0168
"G4500030","2011-2015",,,"South Carolina","45","Aiken County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Aiken County, South Carolina",19478,36375,58359,95220,161542,10626,27355,46257,74916,152911,253359,3.40,8.77,14.82,24.01,49.00,20.30,0.4579,"Aiken County, South Carolina",1160,1145,1524,2763,5654,673,925,1272,1866,6218,19908,0.21,0.28,0.36,0.50,0.98,1.21,0.0105
"G4500050","2011-2015",,,"South Carolina","45","Allendale County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Allendale County, South Carolina",9581,20548,31452,51041,102972,2860,15445,25455,41020,79624,124620,1.74,9.39,15.48,24.95,48.43,18.95,0.4659,"Allendale County, South Carolina",2217,2545,3182,3424,34184,1899,2694,3111,4490,9637,15211,1.08,1.31,1.21,1.42,3.29,1.99,0.0361
"G4500070","2011-2015",,,"South Carolina","45","Anderson County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson County, South Carolina",18168,33794,52913,85175,146323,10338,25729,42721,67738,134882,212639,3.67,9.14,15.18,24.07,47.93,18.89,0.4432,"Anderson County, South Carolina",610,1121,1649,2558,4801,532,866,1202,1860,4530,12040,0.18,0.24,0.30,0.37,0.77,0.82,0.0082
"G4500090","2011-2015",,,"South Carolina","45","Bamberg County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bamberg County, South Carolina",12625,23180,38676,71682,116894,5631,17736,30863,52379,119076,203208,2.50,7.86,13.68,23.21,52.76,22.51,0.5012,"Bamberg County, South Carolina",1512,3205,3664,4592,10801,1666,1755,2929,5872,19574,71546,0.79,0.96,1.56,2.13,4.37,6.14,0.0466
"G4500110","2011-2015",,,"South Carolina","45","Barnwell County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnwell County, South Carolina",12814,25138,45035,77777,129900,5826,18071,34537,58078,119769,187837,2.48,7.65,14.61,24.58,50.68,19.87,0.4843,"Barnwell County, South Carolina",1482,3779,4228,8332,18175,1381,1857,3272,4765,12363,42381,0.55,0.64,1.15,1.55,2.85,3.57,0.0282
"G4500130","2011-2015",,,"South Carolina","45","Beaufort County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Beaufort County, South Carolina",26314,45769,69225,110918,216918,14354,35459,57237,87007,202504,367684,3.62,8.94,14.43,21.94,51.06,23.18,0.4693,"Beaufort County, South Carolina",1071,1345,1884,3102,7903,861,1070,1365,2312,9157,29074,0.22,0.31,0.40,0.50,1.11,1.36,0.0117
"G4500150","2011-2015",,,"South Carolina","45","Berkeley County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkeley County, South Carolina",23706,42871,64731,95689,153391,13032,33270,53076,78866,152177,256855,3.94,10.07,16.06,23.87,46.06,19.43,0.4230,"Berkeley County, South Carolina",1073,1115,1708,2460,3947,711,1012,1242,1654,6128,21061,0.20,0.32,0.35,0.43,1.01,1.25,0.0111
"G4500170","2011-2015",,,"South Carolina","45","Calhoun County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, South Carolina",15534,34825,54055,87474,146907,8403,24182,43689,69202,155896,294705,2.79,8.02,14.50,22.96,51.73,24.45,0.4912,"Calhoun County, South Carolina",2134,4685,6515,6625,11484,1367,2982,3354,4802,26984,101049,0.49,1.04,1.36,2.21,4.36,6.24,0.0440
"G4500190","2011-2015",,,"South Carolina","45","Charleston County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,"Charleston County, South Carolina",21029,41352,67867,110001,219146,10720,30794,53910,86273,203803,372041,2.79,7.99,13.98,22.38,52.86,24.12,0.4972,"Charleston County, South Carolina",592,828,1460,3292,8304,449,744,1032,1802,6455,19047,0.12,0.21,0.28,0.38,0.76,0.89,0.0076
"G4500210","2011-2015",,,"South Carolina","45","Cherokee County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, South Carolina",14361,27396,45584,73304,133345,7175,20490,35782,57917,124677,219853,2.93,8.33,14.54,23.54,50.67,22.34,0.4794,"Cherokee County, South Carolina",910,1579,1972,4028,9118,771,944,1707,2541,14006,47532,0.33,0.61,0.85,1.24,2.73,3.57,0.0283
"G4500230","2011-2015",,,"South Carolina","45","Chester County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chester County, South Carolina",12650,25000,42090,70330,123165,6362,18398,32581,54884,119868,202762,2.74,7.93,14.04,23.65,51.65,21.84,0.4894,"Chester County, South Carolina",1083,1665,2944,5877,6549,844,1205,1931,3125,9962,33597,0.33,0.46,0.74,1.05,1.99,2.76,0.0197
"G4500250","2011-2015",,,"South Carolina","45","Chesterfield County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chesterfield County, South Carolina",12917,24590,40177,67306,117795,7226,18609,32375,52873,109991,176724,3.27,8.42,14.64,23.92,49.75,19.98,0.4658,"Chesterfield County, South Carolina",1276,1880,2087,3768,7450,812,1442,1871,2579,8708,28777,0.33,0.57,0.75,0.95,2.06,2.62,0.0214
"G4500270","2011-2015",,,"South Carolina","45","Clarendon County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarendon County, South Carolina",12782,25477,41595,67675,121324,6975,18838,33008,53580,121037,218390,2.99,8.07,14.14,22.95,51.85,23.39,0.4888,"Clarendon County, South Carolina",995,1709,2385,3504,7286,873,1347,1851,2614,10415,35001,0.37,0.56,0.70,1.05,2.13,2.71,0.0219
"G4500290","2011-2015",,,"South Carolina","45","Colleton County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,"Colleton County, South Carolina",15043,26317,41878,70081,129304,8623,20775,33347,54788,116896,190226,3.72,8.86,14.22,23.36,49.84,20.28,0.4588,"Colleton County, South Carolina",1181,1575,3476,4594,8504,919,1225,2323,3751,8928,21994,0.36,0.52,0.64,0.90,1.76,1.72,0.0175
"G4500310","2011-2015",,,"South Carolina","45","Darlington County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,"Darlington County, South Carolina",13549,26813,45334,75572,138296,7536,19803,35668,58832,126807,210259,3.06,7.96,14.34,23.65,50.99,21.13,0.4802,"Darlington County, South Carolina",973,1223,1882,2294,4906,671,1059,1619,2392,7579,24972,0.24,0.37,0.55,0.84,1.52,1.97,0.0151
