GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AD38E001,AD38E002,AD38E003,AD38E004,AD38E005,AD39E001,AD39E002,AD39E003,AD39E004,AD39E005,AD39E006,AD4AE001,AD4AE002,AD4AE003,AD4AE004,AD4AE005,AD4AE006,AD4BE001,NAME_M,AD38M001,AD38M002,AD38M003,AD38M004,AD38M005,AD39M001,AD39M002,AD39M003,AD39M004,AD39M005,AD39M006,AD4AM001,AD4AM002,AD4AM003,AD4AM004,AD4AM005,AD4AM006,AD4BM001
"G3101430","2011-2015",,,"Nebraska","31","Polk County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,"Polk County, Nebraska",26218,46988,67313,100387,180525,16649,36594,57732,81595,166433,292943,4.64,10.19,16.08,22.73,46.36,20.40,0.4156,"Polk County, Nebraska",2409,4778,3534,4924,46977,1368,2521,2505,3829,19028,56076,0.47,0.84,0.96,1.09,2.87,2.93,0.0300
"G3101450","2011-2015",,,"Nebraska","31","Red Willow County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,"Red Willow County, Nebraska",21023,35983,53583,88835,131248,12263,28404,44117,68309,125975,188351,4.39,10.18,15.81,24.48,45.14,16.87,0.4085,"Red Willow County, Nebraska",3421,3300,4345,6394,7120,1696,2737,3730,6448,11639,34787,0.62,0.90,1.04,1.35,2.35,2.50,0.0269
"G3101470","2011-2015",,,"Nebraska","31","Richardson County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,"Richardson County, Nebraska",17303,32737,55038,83967,124199,9896,25304,42590,69824,123748,196853,3.65,9.32,15.69,25.73,45.60,18.14,0.4293,"Richardson County, Nebraska",2508,2224,8903,5491,14634,1634,3165,5003,5396,14443,48602,0.62,1.01,1.47,1.44,3.52,3.69,0.0367
"G3101490","2011-2015",,,"Nebraska","31","Rock County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,"Rock County, Nebraska",22708,39833,58654,84000,182969,11083,32640,47813,68811,154147,289259,3.52,10.38,15.20,21.88,49.01,22.99,0.4463,"Rock County, Nebraska",7377,3280,7670,8349,76196,3164,3852,4639,5714,27414,70634,1.02,1.27,1.55,1.76,4.55,3.92,0.0472
"G3101510","2011-2015",,,"Nebraska","31","Saline County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,"Saline County, Nebraska",21193,41163,59924,81575,135806,11374,30668,51411,69426,128190,196948,3.93,10.53,17.66,23.85,44.03,16.91,0.3999,"Saline County, Nebraska",2985,3420,2576,7777,11409,2824,2956,3202,3223,10682,28777,0.93,0.86,0.92,0.93,2.27,2.02,0.0281
"G3101530","2011-2015",,,"Nebraska","31","Sarpy County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sarpy County, Nebraska",34898,57655,83758,120725,188519,21328,46239,70375,100975,178311,273089,5.12,11.08,16.87,24.20,42.73,16.36,0.3785,"Sarpy County, Nebraska",1079,1146,1807,1783,3478,853,926,1117,1558,4471,14350,0.20,0.20,0.23,0.26,0.61,0.70,0.0072
"G3101550","2011-2015",,,"Nebraska","31","Saunders County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,"Saunders County, Nebraska",28134,49858,71519,105620,177539,16854,38430,60672,87462,171110,290814,4.51,10.26,16.20,23.35,45.68,19.41,0.4122,"Saunders County, Nebraska",1997,2594,2309,3154,28969,1640,2255,2231,2946,14897,47367,0.46,0.65,0.76,0.83,2.25,2.45,0.0244
"G3101570","2011-2015",,,"Nebraska","31","Scotts Bluff County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,"Scotts Bluff County, Nebraska",21068,36135,54639,86352,145451,12430,28362,45418,68787,148190,267563,4.12,9.35,14.98,22.68,48.87,22.06,0.4467,"Scotts Bluff County, Nebraska",1072,1940,2147,4650,16210,985,1329,1599,2978,13148,43394,0.33,0.57,0.70,0.93,2.13,2.64,0.0228
"G3101590","2011-2015",,,"Nebraska","31","Seward County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,"Seward County, Nebraska",27469,50167,70810,103042,173192,15985,38390,60010,86414,169724,294076,4.31,10.36,16.20,23.32,45.81,19.84,0.4150,"Seward County, Nebraska",1795,2227,3468,4940,28714,1420,2238,2139,2815,14259,44315,0.40,0.60,0.65,0.78,1.99,2.23,0.0213
"G3101610","2011-2015",,,"Nebraska","31","Sheridan County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sheridan County, Nebraska",18762,35375,51264,76688,156469,11784,27132,42741,62204,133002,215216,4.26,9.80,15.44,22.47,48.04,19.43,0.4316,"Sheridan County, Nebraska",2343,3407,3432,6603,14660,1111,2541,2822,4137,14966,35136,0.46,0.84,0.94,1.11,2.68,2.51,0.0273
"G3101630","2011-2015",,,"Nebraska","31","Sherman County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sherman County, Nebraska",21392,36733,58173,84250,119878,12602,29317,47303,68853,135463,235524,4.36,9.98,16.10,23.44,46.11,20.04,0.4195,"Sherman County, Nebraska",2158,4235,3522,8922,19195,2020,2647,4120,5419,23110,83700,0.70,0.97,1.41,1.89,4.25,5.53,0.0452
"G3101650","2011-2015",,,"Nebraska","31","Sioux County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sioux County, Nebraska",19121,33318,52326,86800,170388,11987,25466,42183,66695,136467,207552,4.24,9.00,14.92,23.58,48.26,18.35,0.4387,"Sioux County, Nebraska",2320,6301,5680,9109,39191,2518,4025,5900,9663,20964,33158,0.82,1.29,1.47,1.63,3.52,2.34,0.0344
"G3101670","2011-2015",,,"Nebraska","31","Stanton County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stanton County, Nebraska",24077,44699,61831,90410,136925,14051,34834,53172,75476,161246,330768,4.15,10.28,15.70,22.28,47.60,24.41,0.4365,"Stanton County, Nebraska",1859,2893,4246,7130,16854,2039,3543,3153,5002,55678,212308,0.84,1.83,2.62,3.65,8.51,11.90,0.0886
