"","state_index","form","RSS","AIC","AIC_c","lambda","par_1","par_2","par_3","par_4","par_5","STATE"
"194",12,"PARETO",0.0831521073598518,-234.319447417497,-233.976590274639,377.551646054453,1.72687390868142,NA,NA,NA,NA,"Idaho"
"195",12,"LOGNORMAL",0.00705027913783614,-278.144254089891,-277.801396947033,1351.24700583319,0.927962515747022,NA,NA,NA,NA,"Idaho"
"196",12,"GAMMA",0.0348330407215638,-246.238844187313,-245.895987044456,512.042362862433,1.25429689212378,NA,NA,NA,NA,"Idaho"
"197",12,"WEIBULL",0.0320880379790855,-243.767289037653,-243.424431894796,488.559804099345,1.09132044200081,NA,NA,NA,NA,"Idaho"
"198",12,"GENERALIZED_GAMMA",0.00709154869017099,-275.963711559369,-275.257829206428,1344.26866619868,47877.8968831129,0.00491989212062542,NA,NA,NA,"Idaho"
"199",12,"DAGUM",0.00156395347024232,-307.381632128818,-306.675749775877,3318.78044020699,0.761877177625116,2.17788221189046,NA,NA,NA,"Idaho"
"200",12,"SINGH_MADDALA",0.00193019731886846,-304.783135530626,-304.077253177685,3078.29118525295,1.11699545388411,1.94734077223425,NA,NA,NA,"Idaho"
"201",12,"GB1",0.00713331417934862,-273.795675511662,-272.583554299541,1337.27392789307,31303.0510583907,72785.5672153104,0.00508309348646084,NA,NA,"Idaho"
"202",12,"GB2",0.000791261447300953,-315.687071840774,-314.474950628652,4417.7813592963,0.0404179713151565,0.0732077632455137,26.7911744813258,NA,NA,"Idaho"
"203",12,"SARABIA",0.000379950761578803,-309.510833444103,-307.635833444103,3938.81487291639,0.000100163465466836,1.6352485588082,0.355689133081958,0.35561573792824,NA,"Idaho"
"204",12,"WANG",0.000385685865262667,-329.171684788089,-326.462007368734,7411.42744227926,0.862249579072477,0.77410535478516,0.999999981914625,0.686093174345086,53.9720511539944,"Idaho"
"205",13,"KAKWANI_PODDER",0.220646804276059,-208.245949383816,-207.903092240959,148.326062227546,2.11152310801531,NA,NA,NA,NA,"Illinois"
"206",13,"RASCHE",0.00329790166174459,-286.035223785755,-285.329341432814,1594.39965930828,0.485565518969646,0.679980053253448,NA,NA,NA,"Illinois"
"207",13,"ORTEGA",0.00140464715363666,-293.636509466629,-292.930627113688,1972.7110229757,0.609642670757586,0.399529883913706,NA,NA,NA,"Illinois"
"208",13,"CHOTIKAPANICH",0.189645127500771,-209.349052152206,-209.006195009349,154.814316213957,3.14872582128643,NA,NA,NA,NA,"Illinois"
"209",13,"ABDALLA_HASSAN",0.00134176226570391,-291.571062170502,-290.358940958381,1959.84086590316,0.6039253099043,1.66684663320963e-08,0.401736267535999,NA,NA,"Illinois"
"210",13,"RHODE",0.0445465479197113,-219.680759119549,-219.337901976692,228.258255399732,1.22297377974197,NA,NA,NA,NA,"Illinois"
"211",13,"PARETO",0.0722529149401078,-237.496127694219,-237.153270551362,364.447682232949,1.55405194106727,NA,NA,NA,NA,"Illinois"
"212",13,"LOGNORMAL",0.0153001727860535,-258.432348831736,-258.089491688879,692.181268015986,1.07892692103402,NA,NA,NA,NA,"Illinois"
"213",13,"GAMMA",0.100975955393891,-226.217332633879,-225.874475491022,251.866980171783,1.04207536553,NA,NA,NA,NA,"Illinois"
"214",13,"WEIBULL",0.0698843518814185,-226.489182392289,-226.146325249432,268.747699700835,0.94739256134797,NA,NA,NA,NA,"Illinois"
"215",13,"GENERALIZED_GAMMA",0.0154102105257853,-256.22646186768,-255.520579514739,688.172505217588,45064.0201126938,0.00436126475327975,NA,NA,NA,"Illinois"
"216",13,"DAGUM",0.00244286093472076,-290.010721997744,-289.304839644802,1785.61629898749,0.967316231603421,1.83717724996717,NA,NA,NA,"Illinois"
"217",13,"SINGH_MADDALA",0.00223325203800893,-290.23118298283,-289.525300629889,1791.00708921206,0.948304777191581,1.90285807869902,NA,NA,NA,"Illinois"
"218",13,"GB1",0.0155132249255172,-254.051366810274,-252.839245598153,684.726185750682,34557.8281961934,71098.9072889514,0.00408129997477502,NA,NA,"Illinois"
"219",13,"GB2",0.00091000420618164,-296.698720350938,-295.486599138817,2251.8000096792,0.152877427941635,0.240247983584473,7.10177544049609,NA,NA,"Illinois"
"220",13,"SARABIA",0.00103074477849447,-290.213019256349,-288.338019256349,1988.07396322188,0.000100485705330658,1.65758007714373,0.419171363908884,0.307899613098231,NA,"Illinois"
"221",13,"WANG",0.000569531158919623,-316.434911036602,-313.725233617247,4533.31238873842,0.773444709686925,0.873138591049112,0.999999975135112,0.693322031942759,55.2293509686649,"Illinois"
"222",14,"KAKWANI_PODDER",0.0942036140985674,-221.312916558873,-220.970059416016,246.985362932573,1.96978078696288,NA,NA,NA,NA,"Indiana"
"223",14,"RASCHE",0.00259264322255781,-296.40880880503,-295.702926452089,2391.11171231609,0.565496978561395,0.667207443985929,NA,NA,NA,"Indiana"
"224",14,"ORTEGA",0.00112814331713149,-305.49136205269,-304.785479699748,3102.93687287016,0.602435058425586,0.47581476871359,NA,NA,NA,"Indiana"
"225",14,"CHOTIKAPANICH",0.0786941205720949,-222.464546092339,-222.121688949482,257.706617506855,2.95872500394412,NA,NA,NA,NA,"Indiana"
"226",14,"ABDALLA_HASSAN",0.000939994599557365,-303.345426988548,-302.133305776427,3073.95283949787,0.595825893232059,7.66676699501078e-09,0.478803605186921,NA,NA,"Indiana"
"227",14,"RHODE",0.0247751472304158,-230.573007090023,-230.230149947166,341.19322723526,1.28626267700387,NA,NA,NA,NA,"Indiana"
"228",14,"PARETO",0.0841190712209656,-233.45825671303,-233.115399570173,364.236013447633,1.71177302590581,NA,NA,NA,NA,"Indiana"
"229",14,"LOGNORMAL",0.00740079727919494,-275.018494616095,-274.675637473238,1222.34109920756,0.939556378636812,NA,NA,NA,NA,"Indiana"
"230",14,"GAMMA",0.0374140938119397,-244.27303247581,-243.930175332953,478.482948594617,1.22935819964433,NA,NA,NA,NA,"Indiana"
"231",14,"WEIBULL",0.0335623693278801,-242.149456645058,-241.806599502201,462.024079227561,1.07730573161266,NA,NA,NA,NA,"Indiana"
"232",14,"GENERALIZED_GAMMA",0.00745133246113733,-272.844000780128,-272.138118427187,1215.21036663789,45822.2665193299,0.00496656615704171,NA,NA,NA,"Indiana"
"233",14,"DAGUM",0.00171121599051589,-302.060615503287,-301.354733150346,2811.39536676459,0.760889270221798,2.15307719336232,NA,NA,NA,"Indiana"
"234",14,"SINGH_MADDALA",0.00209175642841909,-299.71950846001,-299.013626107069,2627.05790393872,1.1135133637355,1.9289747218676,NA,NA,NA,"Indiana"
"235",14,"GB1",0.00749526929404442,-270.6837499432,-269.471628731079,1210.46346454546,31335.0256185824,69287.2693543755,0.00497885279851543,NA,NA,"Indiana"
