"","county_index","form","RSS","AIC","AIC_c","lambda","par_1","par_2","COUNTY","AIC_c_diff"
"4571",2286,"ORTEGA",0.000381840882748393,-155.144743658822,-153.944743658822,1303.95556371289,0.68435332461486,0.46865754931712,"Lancaster County, South Carolina",14.60497929531
"4572",2286,"LOGNORMAL",0.00394627835330324,-139.911192934941,-139.339764363512,571.18558713713,0.985909724464786,NA,"Lancaster County, South Carolina",14.60497929531
"4573",2287,"ORTEGA",0.000618437915383243,-147.364921381855,-146.101763487118,1456.88645140259,0.645593722010654,0.483891980574691,"Kershaw County, South Carolina",15.818627020551
"4574",2287,"LOGNORMAL",0.00394411870544639,-130.883136466567,-130.283136466567,577.021609852781,0.944071827085279,NA,"Kershaw County, South Carolina",15.818627020551
"4575",2288,"ORTEGA",0.00115375990427747,-158.135206757708,-156.935206757708,1547.41163014154,0.637173806475591,0.425680464468465,"Oconee County, South Carolina",19.196876875925
"4576",2288,"LOGNORMAL",0.00863192033259682,-138.309758453211,-137.738329881783,555.811566341131,1.06411127586703,NA,"Oconee County, South Carolina",19.196876875925
"4577",2289,"ORTEGA",0.00071118170866894,-130.249269600969,-128.915936267635,929.191759372644,0.598480298122797,0.492253983195154,"Jasper County, South Carolina",7.53879404925901
"4578",2289,"LOGNORMAL",0.00435428418023139,-122.008721165745,-121.377142218376,548.713087016592,0.929316320098091,NA,"Jasper County, South Carolina",7.53879404925901
"4579",2290,"ORTEGA",0.000333523648817292,-146.448731917932,-145.115398584598,2524.23806880976,0.81708383410881,0.500129497558093,"Marlboro County, South Carolina",9.64364777502502
"4580",2290,"LOGNORMAL",0.00199544286376529,-136.103329756941,-135.471750809573,1299.3363680633,0.987327270674774,NA,"Marlboro County, South Carolina",9.64364777502502
"4581",2291,"ORTEGA",0.000798340479605358,-152.050539872525,-150.787381977789,1512.00988875779,0.562658743015137,0.432765185872659,"Horry County, South Carolina",24.602203795709
"4582",2291,"LOGNORMAL",0.00928475928739957,-126.78517818208,-126.18517818208,397.379739732783,1.00100178638309,NA,"Horry County, South Carolina",24.602203795709
"4583",2292,"ORTEGA",0.000591458706245113,-127.225859721041,-125.962701826304,322.645454077864,0.725303756788825,0.51463120404756,"Saluda County, South Carolina",2.224653258788
"4584",2292,"LOGNORMAL",0.00219056919919986,-124.338048567516,-123.738048567516,256.459672168643,0.920980395601933,NA,"Saluda County, South Carolina",2.224653258788
"4585",2293,"ORTEGA",0.000533298241502608,-166.00208735044,-164.80208735044,2274.61986824722,0.699558874788343,0.392646383424525,"Georgetown County, South Carolina",31.873165738625
"4586",2293,"LOGNORMAL",0.00937262484584186,-133.500350183244,-132.928921611815,440.722336272134,1.13019083349286,NA,"Georgetown County, South Carolina",31.873165738625
"4587",2294,"ORTEGA",0.000644604155841386,-155.061310498641,-153.798152603904,2215.17326624341,0.606091951375095,0.420394395238185,"Anderson County, South Carolina",30.593278360399
"4588",2294,"LOGNORMAL",0.00805915418273029,-123.804874243505,-123.204874243505,415.093504123557,1.03597692404765,NA,"Anderson County, South Carolina",30.593278360399
"4589",2295,"ORTEGA",0.00163589351566888,-149.807443275868,-148.607443275868,850.769272503461,0.7333430664889,0.476962533409037,"McCormick County, South Carolina",3.843353135961
"4590",2295,"LOGNORMAL",0.00406714467529292,-145.335518711336,-144.764090139907,641.060734051951,1.00606339178249,NA,"McCormick County, South Carolina",3.843353135961
"4591",2296,"ORTEGA",0.00458242516519169,-139.035885966809,-137.835885966809,250.761924533623,0.696488835518566,0.520593824382879,"Edgefield County, South Carolina",1.60279981958899
"4592",2296,"LOGNORMAL",0.00544852662965778,-136.804514718648,-136.23308614722,207.750536673124,0.903840106048007,NA,"Edgefield County, South Carolina",1.60279981958899
"4593",2297,"ORTEGA",0.000542792165176721,-134.096831391214,-132.833673496478,617.183684273347,0.733208793752842,0.486052511989738,"Cherokee County, South Carolina",5.86842293403902
"4594",2297,"LOGNORMAL",0.00248333412706575,-127.565250562439,-126.965250562439,406.560805370178,0.972422274082484,NA,"Cherokee County, South Carolina",5.86842293403902
"4595",2298,"ORTEGA",0.000605292505428575,-154.73890035052,-153.475742455783,2067.09291946544,0.630334616130685,0.463102492035566,"Sumter County, South Carolina",22.713674797872
"4596",2298,"LOGNORMAL",0.00593704098350067,-131.362067657911,-130.762067657911,571.475141229654,0.975238459328656,NA,"Sumter County, South Carolina",22.713674797872
"4597",2299,"ORTEGA",0.00184655919216852,-156.573519887221,-155.310361992484,2273.10753282901,0.527502566314039,0.443335977587428,"Beadle County, South Dakota",32.911020846544
"4598",2299,"LOGNORMAL",0.00749869358801576,-122.99934114594,-122.39934114594,384.962777608551,0.944130686194262,NA,"Beadle County, South Dakota",32.911020846544
"4599",2300,"ORTEGA",0.000337981636176778,-145.13417468395,-143.800841350616,2352.96180841823,0.89699443987016,0.54866828543744,"Corson County, South Dakota",3.469631784905
"4600",2300,"LOGNORMAL",0.00158697654125833,-140.962788513079,-140.331209565711,1679.00509335392,0.939228220494273,NA,"Corson County, South Dakota",3.469631784905
"4601",2301,"ORTEGA",0.00122266066695029,-147.675272927061,-146.412115032324,1312.24330131782,0.665843763356448,0.466327118322308,"Dewey County, South Dakota",18.484663157211
"4602",2301,"LOGNORMAL",0.00450577295844162,-128.527451875113,-127.927451875113,448.491420345164,0.965002307157926,NA,"Dewey County, South Dakota",18.484663157211
"4603",2302,"ORTEGA",0.00360230764997066,-162.874793502699,-161.731936359841,838.965166897993,0.345596412982726,0.381948432464392,"Lincoln County, South Dakota",34.539353320918
"4604",2302,"LOGNORMAL",0.0302333680390721,-127.738037584377,-127.192583038923,178.998275784859,0.924515117024575,NA,"Lincoln County, South Dakota",34.539353320918
"4605",2303,"ORTEGA",7.26173538477332e-05,-186.846243944543,-185.646243944543,6750.17775372967,0.539983357597601,0.465273111287659,"Miner County, South Dakota",41.11401767798
"4606",2303,"LOGNORMAL",0.00564738531687578,-145.103654837992,-144.532226266563,803.141694835727,0.949138205062661,NA,"Miner County, South Dakota",41.11401767798
"4607",2304,"ORTEGA",0.000444253177648718,-163.317846032103,-162.117846032103,1629.58451593437,0.645858083997758,0.523031443667985,"Roberts County, South Dakota",13.422541632234
"4608",2304,"LOGNORMAL",0.00259228902151444,-149.266732971298,-148.695304399869,743.87358884423,0.885580546999413,NA,"Roberts County, South Dakota",13.422541632234
"4609",2305,"ORTEGA",0.000832721291303052,-173.656740748906,-172.456740748906,3382.41116505428,0.581867870933881,0.493620327403306,"Moody County, South Dakota",29.635432032522
"4610",2305,"LOGNORMAL",0.0047352761132607,-143.392737287813,-142.821308716384,699.269773181724,0.902557847801374,NA,"Moody County, South Dakota",29.635432032522
"4611",2306,"ORTEGA",0.00178060322939037,-152.780125964696,-151.580125964696,927.332070625297,0.585240000991968,0.539927318571201,"Hughes County, South Dakota",12.136121590291
"4612",2306,"LOGNORMAL",0.00350350580618405,-140.015432945834,-139.444004374405,453.842161933617,0.819071536830183,NA,"Hughes County, South Dakota",12.136121590291
"4613",2307,"ORTEGA",0.000981212425778081,-162.345876003743,-161.145876003743,1787.65531110032,0.535681361409678,0.476255457528208,"Clark County, South Dakota",24.140885870414
"4614",2307,"LOGNORMAL",0.00638802241854426,-137.576418704758,-137.004990133329,499.746755676225,0.90712385736684,NA,"Clark County, South Dakota",24.140885870414
"4615",2308,"ORTEGA",0.00128596250630882,-137.88697845253,-136.623820557794,758.459809061671,0.479470353919375,0.441467097101792,"Lyman County, South Dakota",18.308974023397
"4616",2308,"LOGNORMAL",0.00870708111328505,-118.914846534397,-118.314846534397,273.287312685222,0.927837721764938,NA,"Lyman County, South Dakota",18.308974023397
"4617",2309,"ORTEGA",0.00134519934655666,-153.462055363051,-152.262055363051,984.052108323004,0.653741405100595,0.533830445762198,"Jackson County, South Dakota",0.65165627201398
"4618",2309,"LOGNORMAL",0.00246576363096608,-152.181827662465,-151.610399091037,847.574038119294,0.894164211525965,NA,"Jackson County, South Dakota",0.65165627201398
"4619",2310,"ORTEGA",0.00506390475016504,-141.042184269133,-139.779026374396,798.392945936179,0.451021149859221,0.383206117743473,"Marshall County, South Dakota",28.497564484323
"4620",2310,"LOGNORMAL",0.0199111956814309,-111.881461890073,-111.281461890073,176.69917595123,0.97223931883532,NA,"Marshall County, South Dakota",28.497564484323
"4621",2311,"ORTEGA",0.000416906693477631,-174.113416424061,-172.913416424061,3612.81084967928,0.658067947038762,0.548298600464351,"Hutchinson County, South Dakota",11.237395854125
"4622",2311,"LOGNORMAL",0.00151598544646384,-162.247449141365,-161.676020569936,1806.55112525591,0.865078010127048,NA,"Hutchinson County, South Dakota",11.237395854125
"4623",2312,"ORTEGA",0.000870447854149343,-172.969918604176,-171.769918604176,2698.0105445125,0.561487704919485,0.624748744173541,"Hanson County, South Dakota",17.200377047319
"4624",2312,"LOGNORMAL",0.00264152484751165,-155.140970128286,-154.569541556857,974.920678438859,0.710293428095001,NA,"Hanson County, South Dakota",17.200377047319
"4625",2313,"ORTEGA",0.000938276925505707,-168.222594333976,-167.022594333976,2069.8495806095,0.640237897513894,0.491612319392547,"Lake County, South Dakota",22.084340649754
"4626",2313,"LOGNORMAL",0.00317750291430796,-145.509682255651,-144.938253684222,619.306723673608,0.919752913422223,NA,"Lake County, South Dakota",22.084340649754
"4627",2314,"ORTEGA",0.00301890582444651,-121.806700087138,-120.473366753805,586.889425194151,0.83311731201856,0.430122795093235,"Ziebach County, South Dakota",3.51070063159399
"4628",2314,"LOGNORMAL",0.00615200303693425,-117.59424506958,-116.962666122211,443.965579504065,1.12269709020759,NA,"Ziebach County, South Dakota",3.51070063159399
"4629",2315,"ORTEGA",0.00109378385199411,-185.54085593811,-184.397998795253,3293.60416755632,0.522892455120728,0.44809090825578,"Douglas County, South Dakota",38.933912732359
"4630",2315,"LOGNORMAL",0.0104266781150885,-146.009540608349,-145.464086062894,489.91398530718,0.953186174001387,NA,"Douglas County, South Dakota",38.933912732359
"4631",2316,"ORTEGA",0.000199934623147436,-190.992128633196,-189.792128633196,8298.95613825848,0.550122072449227,0.534523460388506,"Deuel County, South Dakota",31.960820598421
"4632",2316,"LOGNORMAL",0.00262189164119617,-158.402736606204,-157.831308034775,1537.95070442167,0.842071513581543,NA,"Deuel County, South Dakota",31.960820598421
"4633",2317,"ORTEGA",0.00226637781705545,-137.838830912512,-136.638830912512,418.365485039763,0.423675949629154,0.417583414317137,"Brown County, South Dakota",16.474915196632
"4634",2317,"LOGNORMAL",0.0183984903644697,-120.735344287308,-120.16391571588,177.020452736041,0.919641575230145,NA,"Brown County, South Dakota",16.474915196632
"4635",2318,"ORTEGA",0.000431325157940354,-165.978857508531,-164.778857508531,1692.34647815575,0.587280777436888,0.480055347608263,"Hand County, South Dakota",15.357640109993
"4636",2318,"LOGNORMAL",0.00450539471050503,-149.992645969966,-149.421217398538,727.451960905844,0.943828903099102,NA,"Hand County, South Dakota",15.357640109993
"4637",2319,"ORTEGA",0.00163214772546842,-165.774537614194,-164.574537614194,2289.40688271804,0.579838078449953,0.487053829895827,"Kingsbury County, South Dakota",26.822343954285
"4638",2319,"LOGNORMAL",0.004964557834394,-138.323622231338,-137.752193659909,544.477991152075,0.900847297606747,NA,"Kingsbury County, South Dakota",26.822343954285
"4639",2320,"ORTEGA",0.00125641455517845,-153.522544168898,-152.259386274161,1894.7327846507,0.636649273311374,0.411884642186801,"Gregory County, South Dakota",30.040844210713
"4640",2320,"LOGNORMAL",0.00786652412930542,-122.818542063448,-122.218542063448,366.811686768114,1.04909207304881,NA,"Gregory County, South Dakota",30.040844210713
"4641",2321,"ORTEGA",0.00178987972125014,-166.354911685456,-165.154911685456,2372.02037547548,0.680080596206992,0.500612661719261,"Faulk County, South Dakota",-5.357069260126
"4642",2321,"LOGNORMAL",0.00105196579164304,-171.08340951701,-170.511980945582,2761.82383320997,0.958846744799829,NA,"Faulk County, South Dakota",-5.357069260126
"4643",2322,"ORTEGA",0.00333367722774553,-179.676664555725,-178.533807412868,1867.46532089224,0.354377822741836,0.251056745742238,"Union County, South Dakota",67.539183876659
"4644",2322,"LOGNORMAL",0.102302392822609,-111.540078081663,-110.994623536209,89.5534920659458,1.13380942933302,NA,"Union County, South Dakota",67.539183876659
"4645",2323,"ORTEGA",0.000485452833759226,-142.999888872791,-141.736730978054,929.76296678117,0.61575753492455,0.459691201445888,"Tripp County, South Dakota",12.208837330586
"4646",2323,"LOGNORMAL",0.00548488005918789,-130.127893647468,-129.527893647468,446.95500807403,0.980186558047368,NA,"Tripp County, South Dakota",12.208837330586
"4647",2324,"ORTEGA",0.000492357829055556,-153.577537991543,-152.314380096806,2111.33953347801,0.682685700123564,0.557819636274782,"Butte County, South Dakota",10.797555916162
"4648",2324,"LOGNORMAL",0.0017086587588394,-142.116824180644,-141.516824180644,1036.01934443216,0.849269177139372,NA,"Butte County, South Dakota",10.797555916162
