"","COUNTY","par_1","par_2"
"145","Franklin County, Arkansas",0.701225104388066,0.47760998035206
"146","Baxter County, Arkansas",0.494415591821656,0.421433493127332
"147","Bradley County, Arkansas",0.74831053774165,0.434874794713118
"148","Phillips County, Arkansas",0.739937478804027,0.406604099579789
"149","Stone County, Arkansas",0.63570439225621,0.469622968925796
"150","Hot Spring County, Arkansas",0.736019435033348,0.539063046235994
"151","Crittenden County, Arkansas",0.753249052325167,0.485289800095817
"152","Mississippi County, Arkansas",0.828469528021148,0.466978628947208
"153","Drew County, Arkansas",0.826645319422673,0.406423817613365
"154","Prairie County, Arkansas",0.727344863736894,0.466678976775701
"155","Nevada County, Arkansas",0.76917025097611,0.532525603961929
"156","Miller County, Arkansas",0.629462161833804,0.43937730377763
"157","Pulaski County, Arkansas",0.633244759773266,0.369375458073911
"158","Craighead County, Arkansas",0.645993541806574,0.419133826294186
"159","Jackson County, Arkansas",0.742697484057275,0.452814919678575
"160","Washington County, Arkansas",0.682651353944571,0.404561806842266
"161","Carroll County, Arkansas",0.559956092524767,0.48327453853709
"162","Conway County, Arkansas",0.720209265451067,0.453513043058178
"163","Yuma County, Arizona",0.587469253712889,0.441980185335035
"164","Pinal County, Arizona",0.620467922082081,0.504365520037428
"165","La Paz County, Arizona",0.503867855265489,0.401217200862006
"166","Maricopa County, Arizona",0.586203916039224,0.384321295761278
"167","Graham County, Arizona",0.71137105135335,0.508304906594588
"168","Pima County, Arizona",0.660396757740552,0.418644914712842
"169","Coconino County, Arizona",0.711328621636005,0.431838438309576
"170","Santa Cruz County, Arizona",0.723763991430572,0.425243766923718
"171","Yavapai County, Arizona",0.532729871056902,0.410745745209323
"172","Mohave County, Arizona",0.563188008158306,0.435456515647328
"173","Gila County, Arizona",0.635681204531098,0.459168099745184
"174","Greenlee County, Arizona",0.643348133618123,0.604538974956197
"175","Cochise County, Arizona",0.789265684326357,0.504827546356024
"176","Navajo County, Arizona",0.881025938891057,0.509892540823731
"177","Apache County, Arizona",1.01152188950461,0.556652363435076
"178","Marin County, California",0.608629014617066,0.266029830826905
"179","Amador County, California",0.633196950295207,0.478197088329178
"180","Fresno County, California",0.656710500132469,0.409257025338887
"181","Santa Cruz County, California",0.670877742790414,0.387196779992273
"182","Sonoma County, California",0.504646000485468,0.403065146337021
"183","Lassen County, California",0.759448176929111,0.551533027256711
"184","Mono County, California",0.3483646942781,0.41542643894406
"185","Alameda County, California",0.714711179781631,0.426251324734086
"186","San Joaquin County, California",0.683438291207056,0.478629694909002
"187","Solano County, California",0.676192353296755,0.542684759324315
"188","Trinity County, California",0.618268643934929,0.376135071389339
"189","Siskiyou County, California",0.636455750636041,0.426343654316886
"190","Butte County, California",0.718392208606404,0.431669368024172
"191","Calaveras County, California",0.665534861717702,0.453495514609767
"192","Stanislaus County, California",0.614864854441438,0.449362125126706
"193","Del Norte County, California",0.77564065442634,0.463925909159196
"194","San Bernardino County, California",0.689330112613182,0.498353264781788
"195","Placer County, California",0.610842032254407,0.454137233734391
"196","Yuba County, California",0.661097387354026,0.531066291547329
"197","Sutter County, California",0.625914026426502,0.465016620088675
"198","San Luis Obispo County, California",0.579149014930508,0.381847172639426
"199","Plumas County, California",0.687048009168177,0.455788153741409
"200","Napa County, California",0.513549538772275,0.345653956078473
"201","Inyo County, California",0.632175841322065,0.492549256568967
"202","Tuolumne County, California",0.627925782764517,0.471921179181375
"203","San Diego County, California",0.617757263078992,0.389326411792448
"204","Mariposa County, California",0.540648728790633,0.506911574005957
"205","Sacramento County, California",0.705908683784574,0.476298320489544
"206","San Benito County, California",0.591492179562871,0.510463266895425
"207","Humboldt County, California",0.641674996699638,0.434449708131164
"208","Tulare County, California",0.631940217376475,0.424465599933258
"209","Modoc County, California",0.706404940072811,0.430619856745853
"210","Santa Clara County, California",0.536834012042741,0.307179675470094
"211","San Francisco County, California",0.699539694759034,0.264453338562572
"212","Nevada County, California",0.568157049970558,0.420461105605094
"213","Ventura County, California",0.548512849078607,0.405737324348181
"214","Shasta County, California",0.642316336739132,0.432933678084428
"215","Sierra County, California",0.741134218565898,0.463258559846735
"216","Riverside County, California",0.663743729495359,0.4814478616887
"217","Lake County, California",0.740809642685009,0.453670117229491
"218","Glenn County, California",0.724001666950097,0.435904953625965
"219","Merced County, California",0.636209030425645,0.454951855988377
"220","Kern County, California",0.629517043235496,0.429374128526698
"221","Imperial County, California",0.798203815643769,0.495251961097148
"222","Kings County, California",0.629996273301768,0.462784330621213
"223","Colusa County, California",0.440812526298974,0.411625869627644
"224","Orange County, California",0.55100330552194,0.356583344103975
"225","San Mateo County, California",0.468877821020485,0.257456267421093
"226","El Dorado County, California",0.623573937475863,0.396349502350569
"227","Yolo County, California",0.794888879552938,0.436785362186291
"228","Mendocino County, California",0.677489197900559,0.430564903497296
"229","Los Angeles County, California",0.589931125139641,0.311607655985917
"230","Monterey County, California",0.512346293986284,0.39638820245249
"231","Madera County, California",0.634516492675638,0.453872148153721
"232","Tehama County, California",0.594668517586223,0.43031472933164
"233","Santa Barbara County, California",0.563428791767491,0.340080055672256
"234","Contra Costa County, California",0.600915893682371,0.375538552676832
"235","Otero County, Colorado",0.829083500853824,0.493650442425278
"236","La Plata County, Colorado",0.523800083577435,0.413393145397518
"237","Costilla County, Colorado",0.816147195085995,0.473320079473078
"238","Routt County, Colorado",0.460563610194588,0.325041037469591
"239","Ouray County, Colorado",0.464538243227132,0.420109997098741
"240","Delta County, Colorado",0.69883333933576,0.505485966951056
"241","Dolores County, Colorado",0.905492865696428,0.55562562551393
"242","Yuma County, Colorado",0.476227016952123,0.405842180552516
"243","Cheyenne County, Colorado",0.402071413689712,0.357443946687759
"244","Bent County, Colorado",0.617204389184745,0.419575134906398
"245","San Miguel County, Colorado",0.437183114815073,0.252389299500431
"246","Conejos County, Colorado",0.858932533186312,0.522800046961797
"247","Kit Carson County, Colorado",0.447455081933555,0.362226341357144
"248","Las Animas County, Colorado",0.704784362593261,0.519910407094797
"249","Archuleta County, Colorado",0.467048029013629,0.373986013807089
"250","Montrose County, Colorado",0.586915763236431,0.471172433087129
"251","Baca County, Colorado",0.608080912595026,0.398640217618442
"252","Rio Grande County, Colorado",0.628047647187877,0.472606010454753
"253","Alamosa County, Colorado",0.916046077369828,0.472492435542156
"254","Chaffee County, Colorado",0.529741385361515,0.464517130432288
"255","Grand County, Colorado",0.457164866513927,0.453595310130697
"256","El Paso County, Colorado",0.631920213154394,0.490509847684263
"257","Custer County, Colorado",0.269392589521449,0.174257626424674
"258","Montezuma County, Colorado",0.584218996916406,0.456433964771394
"259","Denver County, Colorado",0.628786759705755,0.32934028407186
"260","Gilpin County, Colorado",0.583191736129721,0.496676526338583
"261","Lincoln County, Colorado",0.764630150089848,0.528888460110055
"262","Morgan County, Colorado",0.539540886465706,0.492915894720999
"263","Washington County, Colorado",0.520520405247525,0.440338681779228
"264","Pueblo County, Colorado",0.70095141958879,0.489502205151649
"265","Arapahoe County, Colorado",0.509063038006636,0.373201190266385
"266","Gunnison County, Colorado",0.495417441452035,0.37074047449236
"267","Jefferson County, Colorado",0.566233897383192,0.459767524085419
"268","Larimer County, Colorado",0.629511605562133,0.456840531240695
"269","Boulder County, Colorado",0.641045905325988,0.355011576712861
"270","Rio Blanco County, Colorado",0.649801763842251,0.558553622213958
"271","Eagle County, Colorado",0.393539137340477,0.326886378683757
"272","Crowley County, Colorado",0.816879810756128,0.523594105141556
"273","Logan County, Colorado",0.459922619087303,0.329035603041161
"274","Adams County, Colorado",0.603033901625602,0.557743980967082
"275","Summit County, Colorado",0.523119287196978,0.396585185123056
"276","Pitkin County, Colorado",0.391053373311894,0.195295515329813
"277","Fremont County, Colorado",0.546558409452032,0.469164201081912
"278","Huerfano County, Colorado",0.655403376284019,0.4543109274146
"279","Elbert County, Colorado",0.559457987769967,0.51941331857307
"280","Prowers County, Colorado",0.669073787167468,0.453718913263455
"281","Mesa County, Colorado",0.637480280024161,0.453319966896527
"282","Saguache County, Colorado",0.598654989430633,0.365517468590815
"283","Clear Creek County, Colorado",0.548986017898036,0.450557341310603
"284","Douglas County, Colorado",0.437003854513283,0.451559963198778
"285","Phillips County, Colorado",0.617226794417258,0.432088245112687
"286","Garfield County, Colorado",0.419028062286505,0.371770008449184
"287","Park County, Colorado",0.504671470966555,0.49333328827093
"288","Broomfield County, Colorado",0.577686762959674,0.506532960212166
"289","Teller County, Colorado",0.577951966403668,0.507209044134625
"290","Weld County, Colorado",0.593936547091799,0.490434296006165
"291","Sedgwick County, Colorado",0.575697060455307,0.449800839277589
"292","Lake County, Colorado",0.587496347053916,0.519909143848233
"293","Moffat County, Colorado",0.668270968376481,0.545786195711788
"294","New London County, Connecticut",0.544748917040288,0.445128458093361
"295","Fairfield County, Connecticut",0.554785474823445,0.183673181725084
"296","Hartford County, Connecticut",0.66524338791722,0.398836464653631
