"","STATE","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36"
"30","New Jersey",0,0.0162822919556978,0.0213877519736927,0.0268633030727145,0.0337493450823156,0.0410015582634775,0.0488667604924085,0.0575407926438922,0.0669957936328195,0.0770383211629096,0.0875639011057105,0.0984112749944725,0.111642951140802,0.125225457932517,0.139416810574279,0.154554888820623,0.170665235911055,0.187077736701572,0.20375202975241,0.220586076976228,0.242239922110722,0.264188320906636,0.28647718965335,0.309472994305733,0.333699172631828,0.359483917186901,0.386025980865588,0.412312140633224,0.447679720350264,0.483211895221866,0.5209757363559,0.560779324457908,0.603130959179316,0.645534070939581,0.757046979531436,1
"31","New Mexico",0,0.0171905103800054,0.0225654578651138,0.0285089912946359,0.0360691384958066,0.0438644423455436,0.0521684688106918,0.0615010251667548,0.0713074049468874,0.0821251598120339,0.0934147479114893,0.104857802551364,0.118922225895615,0.133257170438757,0.148286603062655,0.164260533312342,0.181189275813702,0.199438847213076,0.218067047063857,0.236466698993438,0.259637141831827,0.283158958698329,0.307363372812057,0.333436108765445,0.361180478561597,0.389352536841689,0.418310496582809,0.447581633696424,0.487015489596283,0.525569824315771,0.5656347553877,0.610144407474459,0.657922323660764,0.70693977842138,0.808360786419624,1
"32","New York",0,0.0149533767037268,0.0197030933895038,0.0249674503981641,0.0312621302252559,0.037910997493464,0.0453947430768301,0.0534618986193721,0.0623007681504377,0.0718327088966428,0.0820507170687341,0.0925451639887933,0.104953072431592,0.117906995687791,0.131560390862116,0.145755214393541,0.161038567303983,0.177075591992072,0.193542904127428,0.210336725164299,0.230970367065139,0.251912887797819,0.273758562075601,0.296844011481733,0.320791791018817,0.345463742908338,0.370878123714404,0.396650715420325,0.430636816004592,0.465709454103549,0.502236675635922,0.541153754388928,0.582888947441981,0.624202602080421,0.731584857686634,1
"33","North Carolina",0,0.0191867206174024,0.025130404936575,0.0314086191899525,0.039325858957583,0.0475073311075866,0.0564138846548695,0.0660394607255581,0.0763103849039385,0.0874072288165043,0.0990704205888219,0.110829108105865,0.125034703464774,0.13947417620561,0.154823029105973,0.170800332975661,0.187642120100437,0.205323506700155,0.223744878047009,0.242389938349065,0.265294674029218,0.288544576459856,0.312834266361823,0.338375825983653,0.364850799063547,0.392405799990163,0.420973988666342,0.449389549064952,0.487119201821792,0.525263485812535,0.565466284659223,0.608573883451502,0.654328181448596,0.701226944115197,0.802939165707086,1
"34","North Dakota",0,0.0197731295905494,0.0259488078930653,0.0326039847914286,0.0407386746974894,0.0491374625523839,0.0583819451585842,0.0683287672516792,0.0789256542006349,0.0903462636451403,0.102320402132884,0.114614610560134,0.129428046986423,0.144421116188386,0.160132721059495,0.177087280406858,0.194531860003112,0.212585974195659,0.231250315248704,0.249890241014828,0.273267087728317,0.296770700524306,0.321299931723365,0.346929015913856,0.373138668092338,0.400081841782864,0.427345689455742,0.454525257206374,0.490806708690123,0.526851012340492,0.564468655289258,0.604555274843862,0.648834483729643,0.694378502242627,0.78700376683778,1
"35","Ohio",0,0.0188023225710218,0.0246246674994881,0.0309842925322219,0.0386702367720709,0.0469594520236773,0.0558585440211694,0.0654455019614717,0.0759135308025016,0.0870704043537903,0.0988877841731646,0.110992231168943,0.125344482227731,0.139989236571013,0.155344643143918,0.171723015454772,0.189038902941237,0.207105626833547,0.225818274128845,0.244829159909393,0.267821877882742,0.291433393381772,0.316046859568251,0.342042992734359,0.368656515892069,0.39633546461665,0.424776325972873,0.453050592879869,0.490641033266723,0.528579697362782,0.567971946182397,0.610411187997641,0.65624388700021,0.702450489067856,0.799122456670917,1
"36","Oklahoma",0,0.0191631847756091,0.0251366278990786,0.0315255034186959,0.0393074735480946,0.047440618275738,0.0563718972090385,0.0658655858608586,0.0762545145626306,0.0872424871244485,0.09887326094016,0.110817963191832,0.124893958952638,0.139294810985414,0.154413789071246,0.170381123731131,0.18733616731352,0.205308956753152,0.223714789353387,0.242088641035002,0.264979634856562,0.288104714349639,0.311892228956797,0.33663296602297,0.363154859685128,0.390414110768211,0.418173897040902,0.446129983469489,0.483872182702691,0.520742282604142,0.55877982906907,0.600887882193784,0.645500845249827,0.691901739871204,0.785650276578011,1
"37","Oregon",0,0.01866864459171,0.0244743187405973,0.0307983411300407,0.0383963567748606,0.0465305248434231,0.0553079424088817,0.0648061069900001,0.0750220320292915,0.086014343153047,0.0976646706251958,0.109703674350873,0.12362570165211,0.137816383603253,0.153164217712334,0.169358543080443,0.186093295446271,0.203416913395128,0.221787112811798,0.240537612922188,0.262899556296298,0.285935096706244,0.309923831569491,0.334552140199167,0.360447638379482,0.387037993539625,0.414320140468742,0.442030918227654,0.478376946918382,0.514043090405221,0.551797494171578,0.592783417420268,0.637804480895124,0.681112777976968,0.787859241423929,1
"38","Pennsylvania",0,0.01915386777129,0.0251304289075442,0.0315703869483222,0.039036660937484,0.0471954682444059,0.0559078032319775,0.065464827819761,0.0757952217319531,0.0867398120399221,0.0985157320050872,0.11062518911884,0.12465954973796,0.13912582881123,0.154412167637901,0.170732397309717,0.18776196842026,0.205540327201195,0.223998181789457,0.24272510306875,0.265454384341899,0.288611783230092,0.312933153123425,0.338416009991828,0.364378648840972,0.391231814134294,0.418863087582451,0.446935097929907,0.483358410652684,0.520000160830395,0.559022156206017,0.600328879988643,0.645336829441128,0.691409257361078,0.791160084901573,1
"39","Rhode Island",0,0.0161890904084771,0.0213825128519791,0.0272489518336004,0.0340777156281192,0.0418152945472264,0.0497446187971173,0.0590034147313124,0.0686415451910447,0.0794263175127431,0.0906459513099289,0.102475161581288,0.116323511651644,0.130706674144742,0.14569037120847,0.16163079294456,0.179120375196327,0.197116127585754,0.21521502445586,0.23430321053916,0.257462629313933,0.28068101468036,0.305430203003501,0.332586302278451,0.36004263738814,0.388035134244013,0.416344441936358,0.443957462426876,0.48120626771484,0.519412144467041,0.559576968645056,0.602426956411139,0.647925792561192,0.695294937676874,0.791664767828701,1
"40","South Carolina",0,0.0179804955025574,0.0235643523830964,0.029337525008264,0.037173570965389,0.0452637842092387,0.053877479991395,0.063150928863469,0.0732043529501152,0.0839419502926736,0.0951470370695785,0.106432360991519,0.120770801286776,0.134916211684238,0.149887035805382,0.16579516064157,0.18246935320584,0.199926630756064,0.218035468775096,0.23600003092771,0.258514114764347,0.28130867982706,0.305496715672233,0.331115033473455,0.357480471225041,0.384412881906257,0.412152774756218,0.439526535022924,0.476950600299358,0.514370625015155,0.553526176708545,0.595698908421942,0.640986251380117,0.685899665128528,0.792744577094038,1
"41","South Dakota",0,0.0225506203222985,0.0292876258903646,0.0365095763812283,0.045162789718864,0.0541166326015913,0.0639630334019747,0.074486729725455,0.0857695455743117,0.0978881444244867,0.110420000115901,0.12340230321021,0.13855100084487,0.154063895933712,0.170318837987629,0.187677783068977,0.205854296166059,0.224460768402738,0.243789749242456,0.263286894978186,0.286967886338472,0.310961025913901,0.335491604908562,0.361315800086255,0.388542803135362,0.416324243966641,0.444389436855712,0.472613941825402,0.51012153742677,0.547240511976032,0.585649980863262,0.625949519675712,0.671080460604782,0.714380868759446,0.800775851475736,1
