"","COUNTY","alpha","gamma","Gini"
"722","Dearborn County, Indiana",0.586426785785739,0.44059153473532,0.43009961808816
"723","Decatur County, Georgia",0.829780438409877,0.597160973237732,0.572557899270862
"724","Decatur County, Indiana",0.565882864170778,0.456118570112994,0.435735994937231
"725","Decatur County, Iowa",0.740098749800747,0.499618723530247,0.494308423545776
"726","Decatur County, Kansas",0.605770774625549,0.534538454815217,0.495270304316027
"727","Decatur County, Tennessee",0.881458240306565,0.474995284522851,0.501870145030502
"728","Deer Lodge County, Montana",0.752309840556248,0.466092792072965,0.475849134506894
"729","Defiance County, Ohio",0.565111066718019,0.462047997123888,0.439358462927353
"730","DeKalb County, Alabama",0.65703006170109,0.515036387075729,0.490563230791187
"731","DeKalb County, Georgia",0.686726862871309,0.596597104308992,0.552813437121397
"732","DeKalb County, Illinois",0.748594809334475,0.478840504357545,0.482875759886218
"733","DeKalb County, Indiana",0.513537448443176,0.49107376653133,0.448526076673402
"734","DeKalb County, Missouri",0.682368740155912,0.423429449429325,0.438438146389
"735","DeKalb County, Tennessee",0.570008496921558,0.571161981611436,0.51599750913256
"736","Del Norte County, California",0.77564065442634,0.536074090840804,0.523275169157223
"737","Delaware County, Indiana",0.670535654665372,0.559579462250034,0.523388626091088
"738","Delaware County, Iowa",0.579263291140786,0.426603604050223,0.420158724440526
"739","Delaware County, New York",0.587874095252675,0.580195016324303,0.525680483298596
"740","Delaware County, Ohio",0.494298536594315,0.575462859082758,0.506759452581009
"741","Delaware County, Oklahoma",0.608289042432536,0.548755473714364,0.505767343639595
"742","Delaware County, Pennsylvania",0.594420704847561,0.629067395798795,0.56522525060847
"743","Delta County, Colorado",0.69883333933576,0.494514033048944,0.48425552770235
"744","Delta County, Michigan",0.630755174937975,0.507693588365108,0.481192393275655
"745","Delta County, Texas",0.774889446962687,0.477416724552431,0.486368695868108
"746","Dent County, Missouri",0.701266736057589,0.502958814950851,0.490051545464342
"747","Denton County, Texas",0.565095083015681,0.546490931005238,0.496919897094638
"748","Denver County, Colorado",0.628786759705755,0.67065971592814,0.604881611866216
"749","Des Moines County, Iowa",0.59294314196606,0.521948512787706,0.484306873786348
"750","Deschutes County, Oregon",0.550978929239722,0.618236877198094,0.550046430398403
"751","Desha County, Arkansas",0.850636568452855,0.539501116907585,0.536404863835883
"752","DeSoto County, Florida",0.558832532028122,0.585472351653465,0.525144767278104
"753","DeSoto County, Mississippi",0.561520120079523,0.451172261745517,0.431750755280742
"754","Deuel County, Nebraska",0.543358900543838,0.474111880972723,0.44294758385896
"755","Deuel County, South Dakota",0.550122072449227,0.465476539611494,0.438637167885231
"756","Dewey County, Oklahoma",0.5304619658647,0.581177365847206,0.517241484894715
"757","Dewey County, South Dakota",0.665843763356448,0.533672881677692,0.504591063773699
"758","DeWitt County, Texas",0.604834682958506,0.79613463420474,0.724853092612487
"759","Dickens County, Texas",0.81295069769487,0.54094655102208,0.531950603548441
"760","Dickenson County, Virginia",0.785122441148883,0.499566106805735,0.501482623001977
"761","Dickey County, North Dakota",0.519552591695455,0.552536006661788,0.493549389970148
"762","Dickinson County, Iowa",0.526652317583895,0.581064822659904,0.516530593222631
"763","Dickinson County, Kansas",0.675251206279473,0.419205711989156,0.434669145377308
"764","Dickinson County, Michigan",0.549030444833042,0.59810038906199,0.53350787533852
"765","Dickson County, Tennessee",0.682522273899391,0.48262411738432,0.47396751489959
"766","Dillingham, Alaska",0.800352770352773,0.423484000156106,0.459842344559994
"767","Dillon County, South Carolina",0.888723661341086,0.503412963382739,0.519556043105784
"768","Dimmit County, Texas",0.58066522009757,0.689143396541815,0.615383860508967
"769","Dinwiddie County, Virginia",0.662463608191976,0.403090906836497,0.423062276020483
